id,alias,name,review_count,rating,price,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.zip_code,location.country,location.display_address
D3NHTerar80aeR6mlyE2mw,azur-afghan-lyon,Azur Afghan,23,4.0,€€,45.77502,4.82875,6 Rue Villeneuve,,,69004,FR,"['6 Rue Villeneuve', '69004 Lyon', 'France']"
ee4wtKIBI_yTz0fJD054pg,tendance-afghane-lyon,Tendance Afghane,1,3.0,,45.75954,4.82556,25 Rue Tramassac,,,69005,FR,"['25 Rue Tramassac', '69005 Lyon', 'France']"
zmk41IUwIkvO_eM0UGD7Sg,sufy-lyon,Sufy,2,3.5,,45.752212,4.864384,34 rue Jeanne Hachette,,,69003,FR,"['34 rue Jeanne Hachette', '69003 Lyon', 'France']"
Vo0U5EcXbh7qlpdaQwZchA,le-conakry-lyon,Le Conakry,9,4.0,€€,45.750642,4.8491267,112 Grande rue de la Guillotière,,,69007,FR,"['112 Grande rue de la Guillotière', '69007 Lyon', 'France']"
-mFHJBuCxZJ_wJrO-o2Ypw,afc-africa-food-concept-lyon,AFC Africa Food Concept,8,3.5,€€,45.7543362127844,4.84346874603273,14 Grande rue de la Guillotière,,,69007,FR,"['14 Grande rue de la Guillotière', '69007 Lyon', 'France']"
ICrn6xBJyZEex74By5F08A,chez-magie-lyon-2,Chez Magie,2,5.0,,45.75032,4.84598,19 Rue Creuzet,,,69007,FR,"['19 Rue Creuzet', '69007 Lyon', 'France']"
FzYHrOjV4xL_bEMbGE7QAQ,le-caméléon-lyon-3,Le Caméléon,3,3.5,€€€,45.7651,4.8435,42 rue Pierre Corneille,,,69006,FR,"['42 rue Pierre Corneille', '69006 Lyon', 'France']"
TmEmoa15_mS-U51nC1nvng,lyon-dakar-lyon,Lyon Dakar,82,4.0,€€,45.75743,4.84822,227 Rue Créqui,,,69003,FR,"['227 Rue Créqui', '69003 Lyon', 'France']"
A_uHjRSYZi6q6dX0gPNgtg,la-symbiose-lyon,La Symbiose,2,4.0,,45.74443,4.84475,85 avenue Berthelot,,,69007,FR,"['85 avenue Berthelot', '69007 Lyon', 'France']"
q6wMT33Gl7LVqDVJy_QveA,afrikavaise-lyon,Afrikavaise,1,5.0,,45.7722676979612,4.80559654533863,39b rue Saint-Pierre de Vaise,,,69009,FR,"['39b rue Saint-Pierre de Vaise', '69009 Lyon', 'France']"
v7bXR0zyBGFhL27xmEfm-Q,tante-lina-lyon,Tante Lina,4,4.0,€€,45.7698899,4.83425,24 rue René Leynaud,,,69001,FR,"['24 rue René Leynaud', '69001 Lyon', 'France']"
Y2MKdOz-1SA8V6lIgUo2gA,campero-lyon,Campero,1,3.0,€,45.7528687,4.8452201,44 grande rue de la Guillotière,,,69007,FR,"['44 grande rue de la Guillotière', '69007 Lyon', 'France']"
Gl37sN_nPMH5V061BkllPw,l-entracte-lyon,L'Entracte,0,0.0,€€,45.7351946,4.8379574,123 rue André Bollier,,,69007,FR,"['123 rue André Bollier', '69007 Lyon', 'France']"
JauIB_mkHD2e0VEorZJSFQ,azza-lyon,Azza,1,4.0,€,45.7569424,4.850419,83 rue Paul Bert,Part-Dieu Sud,,69003,FR,"['83 rue Paul Bert', 'Part-Dieu Sud', '69003 Lyon', 'France']"
KmvWxnZLCLifUyRrpIrWKg,regal-exotic-lyon-3,Regal Exotic,6,4.0,€€,45.7699212,4.8341779,27 Rue René leynaud,,,69001,FR,"['27 Rue René leynaud', '69001 Lyon', 'France']"
FWQxSyiT9ElUYxZyn3amJg,afreediziak-kuizines-lyon,Afreediziak kuizines,0,0.0,,45.76724,4.82341,78 quai Pierre Scize,,,69005,FR,"['78 quai Pierre Scize', '69005 Lyon', 'France']"
3MeCAxkcLRXX6_uLNwogOw,le-doyen-lyon,Le Doyen,1,4.0,,45.7504544330748,4.84624575823545,17 rue Creuzet,,,69007,FR,"['17 rue Creuzet', '69007 Lyon', 'France']"
b2jw9se_HNhQc5qhIPb8Qw,afrika-burger-lyon,Afrika Burger,1,5.0,,45.748034,4.829154,36 cours de Verdun Perrache,,,69002,FR,"['36 cours de Verdun Perrache', '69002 Lyon', 'France']"
xOavZOh0FWluaMdRjaeVAQ,mille-maquis-lyon,Mille Maquis,0,0.0,,45.7697105,4.8008299,24 avenue Joannes Masset,,,69009,FR,"['24 avenue Joannes Masset', '69009 Lyon', 'France']"
NB2FRbhNU5_QC4E6nbyvGg,la-mangue-amère-lyon-2,La Mangue Amère,44,3.5,€€€,45.76986,4.82926,7 rue Jardin des Plantes,,,69001,FR,"['7 rue Jardin des Plantes', '69001 Lyon', 'France']"
NSlq3tQ7VGr6xKbuYBhIwA,le-prado-lyon,Le Prado,3,4.0,€€,45.74927,4.84136,2 place du Prado,,,69007,FR,"['2 place du Prado', '69007 Lyon', 'France']"
MMzjwmBOxl4axPytvrl_-Q,les-gouts-d-elmina-lyon,Les Gouts d'Elmina,1,4.0,€€€,45.7499975,4.8480897,18 Rue de la Madeleine,,,69007,FR,"['18 Rue de la Madeleine', '69007 Lyon', 'France']"
QHhbJKEiKpOnCszqde-q2A,le-coq-rouge-lyon-2,Le Coq Rouge,0,0.0,,45.7514305,4.8485599,280 rue de Créqui,,,69007,FR,"['280 rue de Créqui', '69007 Lyon', 'France']"
tG7lkGE9cv2H9739VNiQBA,le-selam-lyon,Le Selam,1,4.0,,45.75716,4.86734,128 rue Baraban,,,69003,FR,"['128 rue Baraban', '69003 Lyon', 'France']"
FNn9L-my7fPDXo76RaqiVw,exotica-lyon,Exotica,0,0.0,,45.75143,4.84856,280 rue Créqui,,,69007,FR,"['280 rue Créqui', '69007 Lyon', 'France']"
WDOG2ZxaP-hoCpBeIKhogA,le-cristal-lyon-2,Le Cristal,6,3.5,€€,45.75184,4.84702,92 Grande Rue Guillotière,,,69007,FR,"['92 Grande Rue Guillotière', '69007 Lyon', 'France']"
__i35Uza2vLn47t84SCt9Q,sanaga-lyon,sanaga,1,4.0,,45.7532428,4.8453757,11 rue sebastien gryphe,,,69007,FR,"['11 rue sebastien gryphe', '69007 Lyon', 'France']"
BRrkZwaKaCqMvuD948ALYA,la-pirogue-lyon,La Pirogue,1,3.0,€,45.7529411,4.8453598,61 Grande Rue de la Guillotière,Guillotière,,69007,FR,"['61 Grande Rue de la Guillotière', 'Guillotière', '69007 Lyon', 'France']"
Q9Y9yAHA8dhcnwd8cRNF6g,okapi-lyon-2,Okapi,1,1.0,,45.75376,4.84593,12 bis rue Sébastien Gryphe,,,69007,FR,"['12 bis rue Sébastien Gryphe', '69007 Lyon', 'France']"
fWeYYxb2dsHsHx1AnouDTg,la-table-exotique-lyon,La Table Exotique,2,2.5,€€,45.7498093,4.8461199,36 rue de la Thibaudière,,,69007,FR,"['36 rue de la Thibaudière', '69007 Lyon', 'France']"
eJMdYq2jpqTYtUaIpKJV2g,le-mandela-lyon,Le Mandela,0,0.0,,45.76512,4.8274,17 rue de la Juiverie,,,69005,FR,"['17 rue de la Juiverie', '69005 Lyon', 'France']"
3XnHdH_QxBbd-AKdjqVPFw,soleil-de-kashmir-lyon,Soleil de Kashmir,2,2.5,€€,45.76433,4.82788,3 Rue Soufflot,,,69005,FR,"['3 Rue Soufflot', '69005 Lyon', 'France']"
TS92O2meWmWrtRGYrdVN9w,air-du-pays-lyon,Air du Pays,1,5.0,,45.75362,4.84141,14 rue de Marseille,,,69007,FR,"['14 rue de Marseille', '69007 Lyon', 'France']"
Tjrc7EoQH6XbgvkK5Sp6Ew,les-délices-de-la-villette-lyon,Les Délices de la Villette,3,2.5,,45.7570257,4.8633072,210 rue Paul Bert,,,69003,FR,"['210 rue Paul Bert', '69003 Lyon', 'France']"
T8HSMbeWwzAlVL2k0zr2oQ,djerba-lyon,Djerba,1,2.0,€€€,45.7547051,4.8431819,6 Grande Rue de la Guillotière,,,69007,FR,"['6 Grande Rue de la Guillotière', '69007 Lyon', 'France']"
we_sFIF-6BODcZvWbttnjQ,damas-lyon-06,Damas,3,4.0,€€,45.7646082856179,4.86786603927612,28 rue Notre Dame,,,69006,FR,"['28 rue Notre Dame', '69006 Lyon 06', 'France']"
Y9mRvSvKL0vQJEdKgAOWjA,isis-lyon-07,Isis,2,4.5,,45.7437005,4.8346317,17 bd Yves Farges,,,69007,FR,"['17 bd Yves Farges', '69007 Lyon 07', 'France']"
A0WsuG4EjzZtJC4XseK53A,escale-des-saveurs-lyon,Escale des Saveurs,0,0.0,,45.798529,4.830937,5 Grande Rue de Saint Rambert,,,69009,FR,"['5 Grande Rue de Saint Rambert', '69009 Lyon', 'France']"
nwElPgEm8j_aFMQEDL0iUg,puerto-argentino-lyon-03,Puerto Argentino,17,4.0,€€,45.7565306,4.855704,20 rue de la Rize,,,69003,FR,"['20 rue de la Rize', '69003 Lyon 03', 'France']"
ddUEO33iSeEfIAOIzPgs5A,milonga-lyon-2,Milonga,12,3.5,€€€,45.76778,4.85553,59 Rue Ney,,,69006,FR,"['59 Rue Ney', '69006 Lyon', 'France']"
G-zXcdrMJvC_Qiv5GSEKzA,andré-melkonyan-lyon,André Melkonyan,23,4.0,€€,45.76982,4.85614,62 cours Vitton,,,69006,FR,"['62 cours Vitton', '69006 Lyon', 'France']"
f1CstLJjOfBmlW6Iv0ER9g,oncle-dik-lyon,Oncle Dik,9,4.0,€€,45.76734,4.8453,4 rue Bossuet,,,69006,FR,"['4 rue Bossuet', '69006 Lyon', 'France']"
kTFFpWl-Q-uVzZlQ4f6mJQ,le-martini-lyon,Le Martini,0,0.0,,45.7731886350304,4.84272818739921,12 avenue Maréchal Foch,,,69006,FR,"['12 avenue Maréchal Foch', '69006 Lyon', 'France']"
03mYyDFeRoALq0lNBPC2bg,olympic-lyon,Olympic,6,4.0,,45.73706,4.85276,123 route de Vienne,,,69008,FR,"['123 route de Vienne', '69008 Lyon', 'France']"
eJN9xYa9nMRl_9zRG0N2FA,sassoun-lyon-2,Sassoun,2,3.5,,45.7449125706325,4.86733596771955,73 avenue des Frères Lumière,,,69008,FR,"['73 avenue des Frères Lumière', '69008 Lyon', 'France']"
0uCuZbbJeQ8VpEytevwBRA,comptoir-du-6eme-lyon,Comptoir du 6eme,2,3.5,,45.77283,4.84417,38 rue Vendôme,,,69006,FR,"['38 rue Vendôme', '69006 Lyon', 'France']"
5d_4EN9ow6qqA-wdGtLsxA,volga-lyon,Volga,9,4.0,,45.75312,4.85412,51 avenue Félix Faure,,,69003,FR,"['51 avenue Félix Faure', '69003 Lyon', 'France']"
opMKJKDfEE9QcMeYL8p4mA,qimich-lyon-3e-arrondissement,Qimich,0,0.0,,45.7597862960164,4.84842217982365,19 rue Voltaire,,,69003,FR,"['19 rue Voltaire', '69003 Lyon-3E-Arrondissement', 'France']"
WTR13kbGz2vOY5bw6kDQcQ,qichmich-lyon,Qichmich,0,0.0,,45.7597899179335,4.84846998006105,19 rue Voltaire,,,69003,FR,"['19 rue Voltaire', '69003 Lyon', 'France']"
EUD4oyxCEQg5rjUZG3DYsQ,le-bon-coin-lyon-3,Le Bon Coin,6,3.5,€€,45.76481,4.84274,15 rue Vauban,,,69006,FR,"['15 rue Vauban', '69006 Lyon', 'France']"
AImyz5X4hGYa7YlQpKpj9Q,take-a-break-lyon,Take A Break,0,0.0,,45.7694702,4.8534698,34 cours Vitton,,,69006,FR,"['34 cours Vitton', '69006 Lyon', 'France']"
eiAm_ETbvmolpdnAiYdlwA,news-café-lyon-2,New's café,1,4.0,,45.7640662,4.8578667,26 Boulevard Jules Favre,,,69006,FR,"['26 Boulevard Jules Favre', '69006 Lyon', 'France']"
GUVpEUuHSP3aDSVIAJcCqw,cercle-rouge-lyon,Cercle Rouge,5,5.0,€€€,45.7666899,4.83716,36 rue de l'Arbre Sec,,,69001,FR,"[""36 rue de l'Arbre Sec"", '69001 Lyon', 'France']"
Wpad5cg2fksDYTCWiIP-MQ,imouto-lyon,Imouto,78,4.0,€€€,45.7541267110375,4.84076850000001,21 rue Pasteur,,,69007,FR,"['21 rue Pasteur', '69007 Lyon', 'France']"
hq6eVEOIPMSzk9pfbFfp0Q,mumbaï-café-lyon-2,Mumbaï Café,62,4.0,€€,45.76807,4.832907,6 rue Sainte-Catherine,,,69001,FR,"['6 rue Sainte-Catherine', '69001 Lyon', 'France']"
_DjSFtktr7f2CMaru3MaJg,le-monde-d-angkor-lyon,Le Monde d'Angkor,19,4.0,€€,45.776598,4.807466,27 quai Jayr,,,69009,FR,"['27 quai Jayr', '69009 Lyon', 'France']"
qiq1-g4o-KeW_fZyQUvtqA,happy-day-lyon,Happy Day,2,4.5,,45.7412599,4.85468,193 avenue Berthelot,,,69007,FR,"['193 avenue Berthelot', '69007 Lyon', 'France']"
mMXaS8EZAubqwy_iJvfUMw,maori-lyon,Maori,22,4.0,€€,45.7532359231906,4.84026052513127,35 rue Pasteur,,,69007,FR,"['35 rue Pasteur', '69007 Lyon', 'France']"
